id,marca,produto,geracao,ano,status,cabeca_sq_in,comprimento_in,peso_g_sem_corda,balanco_mm,padrao_cordas,viga_mm,tensao_min_lbs,tensao_max_lbs,empunhaduras,estado_atual,disponibilidade_brasil,CONFERE? (S/N),O QUE ESTA ERRADO,VALOR CORRETO,URL DA FONTE OFICIAL,AINDA E LINHA ATUAL? (S/N),OBSERVACOES
wilson-rf-01-2024,Wilson,Wilson RF 01,2024,2024,current,98,27,300,315,16x19,23/24/22,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
wilson-shift-99-v1-2024,Wilson,Wilson Shift 99 v1,v1 (2024),2024,current,99,27,300,315,16x20,23.5,50,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-ezone-100-2025,Yonex,Yonex EZONE 100 (2025),2025,2025,current,100,27,300,320,16x19,24.5/26.5/23,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-ezone-98-2025,Yonex,Yonex EZONE 98 (2025),2025,2025,current,98,27,305,315,16x19,23.8/24.5/19.5,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-ezone-100l-2025,Yonex,Yonex EZONE 100L (2025),2025,2025,current,100,27,285,325,16x19,24.5/26.5/23,45,60,1 / 2 / 3,pending_verification,available,,,,,,
yonex-ezone-105-2025,Yonex,Yonex EZONE 105 (2025),2025,2025,current,105,27,275,330,16x19,24.5/26.5/23.5,40,55,1 / 2 / 3,pending_verification,available,,,,,,
yonex-vcore-100-v8-2026,Yonex,Yonex VCORE 100 (2026),V8 (2026),2026,current,100,27,300,320,16x19,24/26/23,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-vcore-98-v8-2026,Yonex,Yonex VCORE 98 (2026),V8 (2026),2026,current,98,27,305,315,16x19,23/23.5/22,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-vcore-100l-v8-2026,Yonex,Yonex VCORE 100L (2026),V8 (2026),2026,current,100,27,280,330,16x19,24/26/23,45,60,1 / 2 / 3,pending_verification,available,,,,,,
yonex-percept-97-2023,Yonex,Yonex Percept 97 (2023),2023,2023,current,97,27,310,310,16x19,21/21/21,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
yonex-percept-100-2023,Yonex,Yonex Percept 100 (2023),2023,2023,current,100,27,300,320,16x19,23/23/23,45,60,1 / 2 / 3 / 4,pending_verification,available,,,,,,
